prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
440000,1954,8.0962381,0,6.8070183,8.0351429,6.2692666,1,0,0,0,0,0,0,0,0,0,0,0
440000,1955,8.1578884,0,6.6293054,8.0553322,6.2960958,0,1,0,0,0,0,0,0,0,0,0,0
440000,1956,7.8962069,0,6.9815125,8.0753336,6.3111176,0,0,1,0,0,0,0,0,0,0,0,0
440000,1957,8.0155725,0,6.7530751,8.1022196,6.3921347,0,0,0,1,0,0,0,0,0,0,0,0
440000,1958,8.2275534,6.9232111,0,8.1231928,6.4150152,0,0,0,0,1,0,0,0,0,0,0,0
440000,1959,8.5626564,6.842947,0,8.1413183,6.4948273,0,0,0,0,0,1,0,0,0,0,0,0
440000,1960,8.2311335,6.7655005,0,8.1523218,6.6247554,0,0,0,0,0,0,1,0,0,0,0,0
440000,1961,8.0981731,0,6.8355646,8.1579237,6.5521655,0,0,0,0,0,0,0,1,0,0,0,0
440000,1962,7.910018,0,6.9516301,8.1818266,6.4899039,0,0,0,0,0,0,0,0,1,0,0,0
440000,1963,8.01933,0,6.9538321,8.2080727,6.4982672,0,0,0,0,0,0,0,0,0,1,0,0
440000,1964,7.8465891,0,7.0734286,8.2307825,6.4947667,0,0,0,0,0,0,0,0,0,0,1,0
440000,1965,7.8057184,0,7.1286263,8.2598486,6.522078,0,0,0,0,0,0,0,0,0,0,0,1
610000,1953,7.4833093,0,5.9859037,7.3870902,5.3844953,0,0,0,0,0,0,0,0,0,0,0,0
610000,1954,7.461729,0,5.7934947,7.4091363,5.433722,1,0,0,0,0,0,0,0,0,0,0,0
610000,1955,7.4326377,0,5.9574375,7.447751,5.4722705,0,1,0,0,0,0,0,0,0,0,0,0
610000,1956,7.5013232,0,5.8787284,7.4707937,5.5174527,0,0,1,0,0,0,0,0,0,0,0,0
610000,1957,7.5934262,0,5.9450111,7.4972072,5.5529594,0,0,0,1,0,0,0,0,0,0,0,0
610000,1958,7.7537541,6.0404491,0,7.5131636,5.5373344,0,0,0,0,1,0,0,0,0,0,0,0
610000,1959,7.7441311,5.7271142,0,7.5395589,5.7397928,0,0,0,0,0,1,0,0,0,0,0,0
610000,1960,7.440114,6.0348086,0,7.5725031,5.894403,0,0,0,0,0,0,1,0,0,0,0,0
610000,1961,7.5180721,0,5.9858503,7.5852809,5.6903596,0,0,0,0,0,0,0,1,0,0,0,0
